ID,Dex,Time,Taker,Taker Address,Taker Amount,Taker Token,Maker,Maker Address,Maker Amount,Maker Token,Tx,Create TS
13,Uniswap,9h ago,🤓 Digital Asset Capital Management: Fund Manager,0x6fac2bcca1f5397bf2bc96aa4ae8f35728882761,.1007,WETH,🏦 🤖 Uniswap v2 Pool: PMON-WETH,0x1796ae0b0fa4862485106a0de9b654efe301d0b2,50,PMON,,2021-06-24 23:40:41
14,Uniswap,12h ago,🤓 Alameda: Compound,0x7578e676b3706aa65a4d7b9bd621922a305552db,.001,WETH,🏦 🤖 Uniswap v3 Pool: DAI-WETH,0x6b175474e89094c44da98b954eedeac495271d0f,1.94,DAI,,2021-06-24 23:40:41
15,Uniswap,12h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,13,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"21,939",MATIC,,2021-06-24 23:40:41
16,Uniswap,14h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"44,580",USDC,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,23,WETH,,2021-06-24 23:40:41
17,Uniswap,17h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"32,113",USDT,🏦 🤖 Uniswap v3 Pool: WETH-USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17,WETH,,2021-06-24 23:40:41
18,SushiSwap,19h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"7,049",SRM,🏦 🤖 Sushiswap Pool: SRM-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10,WETH,,2021-06-24 23:40:41
19,Uniswap,20h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,6.56,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"10,661",MATIC,,2021-06-24 23:40:41
20,SushiSwap,20h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,6.3,WETH,🏦 🤖 Sushiswap Pool: COMP-WETH,0xc00e94cb662c3520282e6f5717214004a7f26888,52,COMP,,2021-06-24 23:40:41
21,Uniswap,20h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,13,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"22,236",MATIC,,2021-06-24 23:40:41
22,0x,21h ago,OpenSea User,0x79ec99e7e395088fd73ccb8321bf528cabebc37f,.2514,WETH,🤓 🤖 Wintermute,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,475,USDC,,2021-06-24 23:40:41
23,Uniswap,22h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,14,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"22,699",MATIC,,2021-06-24 23:40:41
24,Uniswap,23h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,18,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"30,526",MATIC,,2021-06-24 23:40:41
25,SushiSwap,24h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,7.58,WETH,🏦 🤖 Sushiswap Pool: SRM-WETH,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,"5,201",SRM,,2021-06-24 23:40:41
0,SushiSwap,56m ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"1,950",PERP,🏦 🤖 Sushiswap Pool: PERP-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5.21,WETH,,2021-06-25 00:11:16
1,Uniswap,2h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,229,ROOK,🏦 🤖 Uniswap v2 Pool: WETH-ROOK,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16,WETH,,2021-06-25 00:11:16
2,SushiSwap,2h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"1,950",PERP,🏦 🤖 Sushiswap Pool: PERP-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5.3,WETH,,2021-06-25 00:11:16
